IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
104.19.152.26,155,179,164,0
104.16.35.219,159,172,165,0
104.16.55.24,154,189,165,0
104.18.200.54,156,179,166,0
104.17.154.69,156,180,167,0
104.19.179.62,155,208,167,0
104.17.159.22,157,189,168,0
104.16.22.83,161,185,169,0
104.18.78.62,158,207,169,0
190.93.245.12,161,180,169,0
104.19.222.237,156,213,169,0
104.18.221.185,159,180,170,0
104.16.20.151,162,190,170,0
141.101.115.210,158,204,171,0
104.17.4.86,159,213,171,0
104.17.13.204,160,189,172,0
104.19.160.144,155,210,172,0
104.17.9.175,158,189,172,0
104.17.119.215,162,201,173,0
