IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
172.64.48.0,189,236,205,20
172.64.38.93,187,280,215,20
172.64.69.106,201,243,215,20
172.64.52.119,204,236,216,20
172.64.53.157,204,233,217,20
172.64.49.65,203,245,219,20
172.64.39.128,210,279,223,20
172.64.50.55,207,263,224,20
172.64.68.105,209,236,225,20
172.64.40.229,206,279,225,20
172.64.41.130,204,290,232,20
172.64.42.72,199,267,216,30
172.64.78.0,220,257,242,40
172.64.85.153,189,223,200,60
104.16.14.210,166,255,216,60
104.16.18.173,168,265,220,60
108.162.198.202,198,287,228,60
1.0.0.44,197,282,234,60
162.159.11.228,198,284,237,60
162.159.15.157,192,296,242,60
104.16.16.234,177,297,252,60
172.64.80.86,212,220,215,70
162.159.7.232,198,242,224,70
162.159.20.79,202,266,225,70
162.159.27.110,200,271,229,70
162.159.14.44,205,271,233,70
162.159.17.208,201,292,241,70
104.16.15.14,195,294,246,70
172.64.81.175,277,286,280,70
104.27.203.189,196,202,199,80
162.159.0.105,203,233,218,80
104.16.22.83,186,253,220,80
162.159.8.125,208,233,221,80
108.162.196.111,217,239,228,80
162.159.22.215,214,243,228,80
162.159.25.53,215,242,229,80
108.162.199.223,219,244,231,80
104.16.19.31,208,256,232,80
162.159.1.236,221,250,235,80
162.159.9.79,228,248,238,80
104.18.10.104,226,250,238,80
162.159.6.139,234,244,239,80
104.16.20.64,222,267,245,80
108.162.192.212,244,254,249,80
104.16.17.131,236,267,251,80
141.101.114.239,225,284,255,80
162.159.24.173,252,259,255,80
1.1.1.231,252,260,256,80
162.159.2.209,257,260,258,80
162.159.13.94,258,268,263,80
141.101.113.150,250,286,268,80
108.162.195.223,269,272,271,80
162.159.21.185,270,272,271,80
162.159.23.78,256,291,273,80
108.162.193.99,257,296,276,80
141.101.115.221,259,295,277,80
162.159.3.122,267,293,280,80
172.64.79.1,169,169,169,90
104.16.13.78,174,174,174,90
104.16.9.165,185,185,185,90
66.235.200.70,204,204,204,90
104.16.8.11,206,206,206,90
104.27.193.81,211,211,211,90
23.227.38.68,212,212,212,90
104.16.5.150,214,214,214,90
23.227.39.72,221,221,221,90
104.16.7.205,221,221,221,90
23.227.60.93,222,222,222,90
104.16.2.11,222,222,222,90
104.16.4.212,224,224,224,90
104.16.3.9,224,224,224,90
172.64.94.161,226,226,226,90
104.16.6.185,226,226,226,90
104.16.10.238,229,229,229,90
104.16.35.33,234,234,234,90
104.16.34.26,234,234,234,90
104.16.0.211,234,234,234,90
104.16.12.171,235,235,235,90
104.16.1.55,235,235,235,90
104.16.42.232,237,237,237,90
104.16.36.138,238,238,238,90
104.16.27.83,244,244,244,90
104.16.38.29,250,250,250,90
172.64.147.74,252,252,252,90
104.16.28.200,253,253,253,90
104.16.11.231,253,253,253,90
104.16.23.93,256,256,256,90
172.64.145.207,261,261,261,90
172.64.83.140,261,261,261,90
104.16.39.31,264,264,264,90
172.64.144.147,266,266,266,90
162.159.5.250,270,270,270,90
141.101.123.220,270,270,270,90
104.16.33.34,270,270,270,90
172.64.146.33,271,271,271,90
162.159.12.181,275,275,275,90
104.16.29.144,279,279,279,90
104.16.24.101,292,292,292,90
162.159.4.131,293,293,293,90
172.64.86.73,294,294,294,90
162.159.10.7,296,296,296,90
108.162.194.89,298,298,298,90
103.21.244.238,299,299,299,90
104.31.16.63,299,299,299,90
162.159.26.62,299,299,299,90
